domain,countryCode,LON,PageViewsEnglish,birthyear,birthstate,occupation,en_curid,numlangs,birthcity,AverageViews,TotalPageViews,countryName,HPI,countryCode3,PageViewsNonEnglish,name,L_star,gender,industry,StdDevPageViews,continentName,LAT,wikiquote name
INSTITUTIONS,US,-74.013898,5315998,1952,NY,MILITARY PERSONNEL,3223944,38,Lower Hudson Valley,167000.1053,6346004,UNITED STATES,19.15309872,USA,1030006,David Petraeus,2.329508446,Male,MILITARY,207221.6038,North America,41.442589,David Petraeus
ARTS,US,-74.0059,7547015,1952,NY,ACTOR,73626,46,New York,267999.4783,12327976,UNITED STATES,23.25702774,USA,4780961,Christopher Reeve,4.979744931,Male,FILM AND THEATRE,79818.80712,North America,40.7127,Christopher Reeve
HUMANITIES,GB,-3,2359378,1952,,WRITER,7573,26,Liverpool,139781.2692,3634313,UNITED KINGDOM,22.40657551,GBR,1274935,Clive Barker,4.386927324,Male,LANGUAGE,7313.481858,Europe,53.4,Clive Barker
HUMANITIES,GB,0.119,5841300,1952,,WRITER,8091,57,Cambridge,204047.7895,11630724,UNITED KINGDOM,21.98686301,GBR,5789424,Douglas Adams,8.278152743,Male,LANGUAGE,668974.0232,Europe,52.205,Douglas Adams
INSTITUTIONS,AL,19.816,122217,1952,,POLITICIAN,393701,26,Tirana,11475.92308,298374,ALBANIA,20.69005289,ALB,176157,Fatos Nano,8.4450022,Male,GOVERNMENT,888.7719328,Europe,41.326,Fatos Nano
INSTITUTIONS,LY,21.741667,407582,1952,,POLITICIAN,30960034,29,Al Bayda',27900.48276,809114,LIBYAN ARAB JAMAHIRIYA,19.23628838,LBY,401532,Mustafa Abdul Jalil,6.603455687,Male,GOVERNMENT,20502.99848,Africa,32.766389,Mustafa Abdul Jalil
INSTITUTIONS,BG,23.333333,151675,1952,,DIPLOMAT,22351888,31,Sofia,12821.06452,397453,BULGARIA,20.1835843,BGR,245778,Irina Bokova,10.11683337,Female,GOVERNMENT,3915.145646,Europe,42.7,Irina Bokova
HUMANITIES,TR,28.955,1294614,1952,,WRITER,403520,90,Istanbul,45379.92222,4084193,TURKEY,25.19409631,TUR,2789579,Orhan Pamuk,12.81206377,Male,LANGUAGE,11193.90589,Asia,41.013611,Orhan Pamuk
INSTITUTIONS,RU,30.3,11910646,1952,,POLITICIAN,32817,131,Saint Petersburg,181046.8626,23717139,Russia,25.76477158,RUS,11806493,Vladimir Putin,9.249478125,Male,GOVERNMENT,163382.5794,Europe,59.95,Vladimir Putin
INSTITUTIONS,ZW,31.166667,809823,1952,,POLITICIAN,21492584,45,Gutu,26147.97778,1176659,ZIMBABWE,19.95825311,ZWE,366836,Morgan Tsvangirai,4.736134456,Male,GOVERNMENT,14727.60231,Africa,-19.65,Morgan Tsvangirai
ARTS,TR,32.866667,3573186,1952,,MUSICIAN,160965,26,Ankara,228105.8077,5930751,TURKEY,22.79273945,TUR,2357565,Joe Strummer,4.771600494,Male,MUSIC,16314.8075,Asia,39.933333,Joe Strummer
